,,,,,,,,,,
Gene Name,Cell Count,Average,St Dev,p value,Average,St Dev,p value,Average,St Dev,p value
EIF2AK2,217,0.606,0.075,0.012,0.647,0.102,0.026,0.962,0.237,0.806
EIF2AK2,318,0.719,0.069,0.018,0.706,0.082,0.025,1.038,0.257,0.822
CDKL1,398,0.852,0.032,0.015,0.761,0.085,0.04,1.132,0.157,0.281
DCK,363,1.068,0.015,0.017,0.701,0.051,0.01,1.53,0.107,0.013
DGKQ,406,1.119,0.042,0.039,0.805,0.059,0.029,1.394,0.111,0.026
PFKFB3,458,1.204,0.046,0.016,0.813,0.029,0.008,1.483,0.088,0.011
ERK8,466,1.234,0.063,0.024,0.807,0.009,0.001,1.528,0.084,0.008
STK19,347,1.334,0.103,0.03,0.654,0.115,0.035,2.065,0.231,0.015
PRKG2,413,1.384,0.152,0.048,0.721,0.107,0.046,1.959,0.412,0.056
MAP2K1IP1,436,1.393,0.052,0.006,0.831,0.048,0.026,1.679,0.123,0.011